from,to,distance
86775190,34080817,0.12580120712253068
124370031,44393528,0.3511766727097872
124370031,34080817,0.3932497515695809
38219865,86576850,0.0728924797082818
38219865,38219866,0.10186431706526944
86576850,359424152,0.07749278570813051
86576850,38219865,0.0728924797082818
38219866,109625456,0.10860185123461095
38219866,38219865,0.10186431706526944
109625456,89946121,0.2692948518977069
109625456,38219866,0.10860185123461095
39093440,672127465,0.17134373994810015
39093440,39094202,0.1804491060465009
39093440,672127463,0.19094705215871205
672127465,39093440,0.17134373994810015
672127465,39094202,0.08279771026275233
672127465,672127453,0.1996968251700114
672127465,672127439,0.05334300735981312
39094202,39093440,0.1804491060465009
39094202,672127465,0.08279771026275233
39094202,672127464,0.02647019744236468
672127463,39093440,0.19094705215871205
672127463,156962305,0.199153515780077
672127463,672127462,0.20378952350370824
672127464,672127466,0.08884913949450196
672127464,39094202,0.02647019744236468
672127464,672127439,0.05157548937888191
87316371,43960901,0.20924975700266502
87316371,368396998,0.11967716113334272
43960901,87316371,0.20924975700266502
43960901,368396996,0.021714342031146014
368396996,672127469,0.07148099195944968
368396996,43960901,0.021714342031146014
43960906,672181288,0.2844926889385448
43960906,43960905,0.10374395777076148
44393522,44393523,0.11477738146220441
44393522,44393518,0.12009447692801137
44393518,44393522,0.12009447692801137
44393520,44393521,0.1392962239707928
44393520,44393524,0.11954470732149489
44393521,44393520,0.1392962239707928
44393521,119218807,0.18135306891744307
44393524,44393520,0.11954470732149489
44393524,44393526,0.19104345709423706
119218807,44393521,0.18135306891744307
44393523,44393522,0.11477738146220441
44393523,44393527,0.21848254836970232
44393527,44393528,0.20096790185834656
44393527,44393523,0.21848254836970232
44393526,44393529,0.1840353246137148
44393526,44393524,0.19104345709423706
44393529,44393530,0.35778790705207264
44393529,44393526,0.1840353246137148
44393528,124370031,0.3511766727097872
44393528,44393527,0.20096790185834656
671005466,671005465,0.07166366181600754
671005466,97826772,0.1319291860581992
86576894,86576907,0.09642117851826389
86576894,46613942,0.10044546455120597
46613942,86576894,0.10044546455120597
46613942,46613943,0.07039193428155548
46613943,86576898,0.26656848883107365
46613943,46613942,0.07039193428155548
86576898,86576882,0.22777246166451498
86576898,46613943,0.26656848883107365
46613944,86576897,0.06258489668399243
46613944,46613945,0.09363525200096534
86576897,46613944,0.06258489668399243
86576897,86576881,0.25585379172810147
46613945,46613944,0.09363525200096534
46613945,86576896,0.02893963955870058
46613945,672181285,0.0707477091849487
672181285,86576896,0.0423227343169409
672181285,46613945,0.0707477091849487
672181285,86576895,0.034238573792069044
86576882,86576898,0.22777246166451498
86576882,46613950,0.06970698066583245
46613950,86576882,0.06970698066583245
46613950,46613951,0.05767386070871242
46613957,46613952,0.06607062825072273
46613957,86576881,0.2504091765016411
86576881,86576897,0.25585379172810147
86576881,46613957,0.2504091765016411
46613961,117016529,0.02356258248214457
46613961,46613962,0.0628899896190553
46613962,46613961,0.0628899896190553
46613962,86576867,0.10470766771538448
86576867,117016528,0.09206271573695642
86576867,46613962,0.10470766771538448
86576866,46613963,0.08031242021800833
86576866,117016523,0.09727009822840182
46613963,86576866,0.08031242021800833
46613963,46613964,0.018644691650175762
46613964,117016520,0.0985252240131111
46613964,46613963,0.018644691650175762
46613999,672181290,0.08056508270765822
46613999,87789115,0.28030478948921633
716689913,46614001,0.4178700553433604
716689913,347962249,0.25339163803470427
716689913,671005423,0.28166230052195784
672127456,46614137,0.027801206094299744
672127456,113513082,0.058404771352997466
672127456,48658996,0.5785673912639977
86576858,46614138,0.08646803516325502
86576858,665663815,0.09941652416384864
46614138,85621189,0.01924958684485554
46614138,86576858,0.08646803516325502
46614138,240534098,0.02163951448243461
48060891,48060923,0.0325343866251844
48060891,763299462,0.018902842394601757
763299462,48060891,0.018902842394601757
763299462,763299461,0.032712419627120556
480355681,49624546,0.2487804853053506
480355681,49630259,0.7494825807885896
480355681,49629314,0.7397206057834875
49624546,480218560,0.40624886774058366
49624546,480355681,0.2487804853053506
480218560,49624546,0.40624886774058366
480218560,480218559,0.09800448730578555
49629314,480355681,0.7397206057834875
49629314,49630259,0.013762717193394615
49630259,480355681,0.7494825807885896
49630259,49629314,0.013762717193394615
68187680,105425776,0.3754094541270344
68187680,80318470,0.048928322557336194
68187680,68187679,0.3768234538537214
105425776,68187680,0.3754094541270344
105425776,672127506,0.3930281988229107
105425776,68187679,0.02467644445172864
68187679,68187680,0.3768234538537214
68187679,105425776,0.02467644445172864
68187679,672030004,0.3440584599191692
672030004,180891251,0.08646292325956052
672030004,672030006,0.02218204580678269
672030004,68187679,0.3440584599191692
80318470,68187680,0.048928322557336194
80318470,80318469,0.09201703320427396
71493580,780093409,0.0706175081726687
71493580,278320229,0.24981407223007604
71493580,105787727,0.0745119341652106
71493580,278320240,0.14729300490399325
71493580,278321330,0.22797329546779735
71493580,110998110,0.46697926969397113
278320229,278320240,0.31273774824367473
278320229,71493580,0.24981407223007604
278320229,105787725,0.4230711713289294
278320229,110998110,0.3961042390405612
110998110,278320240,0.3724081391326903
110998110,71493580,0.46697926969397113
110998110,278320229,0.3961042390405612
780093409,278321330,0.17484743379975057
780093409,780093410,0.08217657202672442
780093409,71493580,0.0706175081726687
780093409,105787727,0.004303015392736531
278321330,780093409,0.17484743379975057
278321330,71493580,0.22797329546779735
278321330,744635156,0.15954728585673777
278321330,105787727,0.17087817101615416
105787727,780093409,0.004303015392736531
105787727,278321330,0.17087817101615416
105787727,780093410,0.08184210007132924
105787727,71493580,0.0745119341652106
672127494,672127496,0.42617992154339585
672127494,672127495,0.1619884070453565
672127494,83230063,0.1663354283060489
83230063,672127494,0.1663354283060489
83230063,672127495,0.1219824715373011
672127495,672127496,0.5488215535515969
672127495,672127494,0.1619884070453565
672127495,83230063,0.1219824715373011
83672320,83672321,0.7902653451063487
83672320,480218559,0.11118042577618314
480218559,83672320,0.11118042577618314
